sr_no,rank,percentile,choice_code,institute_code,college_code,course_code,course_name,college_name,mapping_status
1.0,12401.0,87.3309399,110124610.0,1101.0,1101,0110124610,Information Technology,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
2.0,30398.0,71.3769198,110135610.0,1101.0,1101,0110135610,Electrical Engg[Electronics and Power],Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
3.0,14768.0,85.278952,110137210.0,1101.0,1101,0110137210,Electronics and Telecommunication Engg,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
4.0,31207.0,70.7178978,110161210.0,1101.0,1101,0110161210,Mechanical Engineering,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
5.0,51315.0,53.7750944,110519110.0,1105.0,1105,0110519110,Civil Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
6.0,18549.0,81.7927537,110524210.0,1105.0,1105,0110524210,Computer Science and Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
7.0,21723.0,78.9227248,110524610.0,1105.0,1105,0110524610,Information Technology,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
8.0,30647.0,71.1861396,110537210.0,1105.0,1105,0110537210,Electronics and Telecommunication Engg,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
9.0,53904.0,51.6406469,110561210.0,1105.0,1105,0110561210,Mechanical Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
10.0,45683.0,58.6258093,110719110.0,1107.0,1107,0110719110,Civil Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
11.0,20068.0,80.4005535,110724210.0,1107.0,1107,0110724210,Computer Science and Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
12.0,42735.0,61.0236779,110729310.0,1107.0,1107,0110729310,Electrical Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
13.0,35854.0,66.6655105,110737210.0,1107.0,1107,0110737210,Electronics and Telecommunication Engg,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
14.0,31498.0,70.5477463,110799510.0,1107.0,1107,0110799510,Artificial Intelligence and Data Science,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
15.0,51965.0,53.0366088,111419110.0,1114.0,1114,0111419110,Civil Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
16.0,29439.0,72.1885748,111426310.0,1114.0,1114,0111426310,Artificial Intelligence (AI) and Data Science,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
17.0,29102.0,72.4780171,111437210.0,1114.0,1114,0111437210,Electronics and Telecommunication Engg,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
18.0,54035.0,51.4671199,111461210.0,1114.0,1114,0111461210,Mechanical Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
19.0,64662.0,42.0665339,111619110.0,1116.0,1116,0111619110,Civil Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
20.0,60297.0,45.8887471,111624210.0,1116.0,1116,0111624210,Computer Science and Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
21.0,62971.0,43.5428977,111624610.0,1116.0,1116,0111624610,Information Technology,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
22.0,72927.0,33.2232604,111719110.0,1117.0,1117,0111719110,Civil Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
23.0,57472.0,48.5158173,111724210.0,1117.0,1117,0111724210,Computer Science and Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
24.0,86409.0,13.5512762,111735610.0,1117.0,1117,0111735610,Electrical Engg[Electronics and Power],Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
25.0,89100.0,7.044307,111761210.0,1117.0,1117,0111761210,Mechanical Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
26.0,42451.0,61.2790648,111924210.0,1119.0,1119,0111924210,Computer Science and Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
27.0,44044.0,60.0480266,111924610.0,1119.0,1119,0111924610,Information Technology,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
28.0,69775.0,36.6180714,111937210.0,1119.0,1119,0111937210,Electronics and Telecommunication Engg,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
29.0,173466.0,25.5936912,111950710.0,1119.0,1119,0111950710,Chemical Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
30.0,181737.0,14.0490445,111961210.0,1119.0,1119,0111961210,Mechanical Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
31.0,70497.0,36.0493995,112019110.0,1120.0,1120,0112019110,Civil Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
32.0,42702.0,61.0236779,112124610.0,1121.0,1121,0112124610,Information Technology,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
33.0,53633.0,51.7541555,112137210.0,1121.0,1121,0112137210,Electronics and Telecommunication Engg,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
34.0,56587.0,49.2613509,112161210.0,1121.0,1121,0112161210,Mechanical Engineering,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
35.0,62449.0,43.928898,112319110.0,1123.0,1123,0112319110,Civil Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
36.0,50569.0,54.4646573,112324210.0,1123.0,1123,0112324210,Computer Science and Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
37.0,57689.0,48.2828053,112337210.0,1123.0,1123,0112337210,Electronics and Telecommunication Engg,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
38.0,71130.0,35.2437565,112361210.0,1123.0,1123,0112361210,Mechanical Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
39.0,76409.0,29.2883952,112524210.0,1125.0,1125,0112524210,Computer Science and Engineering,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
40.0,69653.0,36.6705729,112526310.0,1125.0,1125,0112526310,Artificial Intelligence (AI) and Data Science,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
41.0,110411.0,79.4895283,112619110.0,1126.0,1126,0112619110,Civil Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
42.0,67342.0,39.4204787,112624210.0,1126.0,1126,0112624210,Computer Science and Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
43.0,78826.0,25.7633394,112629310.0,1126.0,1126,0112629310,Electrical Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
44.0,76195.0,29.3959598,112719110.0,1127.0,1127,0112719110,Civil Engineering,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
45.0,58120.0,48.0088741,112724510.0,1127.0,1127,0112724510,Computer Engineering,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
46.0,66798.0,39.9405287,112729310.0,1127.0,1127,0112729310,Electrical Engineering,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
47.0,60457.0,45.7000902,112737210.0,1127.0,1127,0112737210,Electronics and Telecommunication Engg,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
48.0,64071.0,42.4544698,112761210.0,1127.0,1127,0112761210,Mechanical Engineering,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
49.0,20086.0,80.3927437,112824210.0,1128.0,1128,0112824210,Computer Science and Engineering,Prof Ram Meghe College Of Engineering And Management Badnera,Fully Mapped
50.0,26043.0,75.1570798,112824610.0,1128.0,1128,0112824610,Information Technology,Prof Ram Meghe College Of Engineering And Management Badnera,Fully Mapped
51.0,49991.0,55.0466064,112829310.0,1128.0,1128,0112829310,Electrical Engineering,Prof Ram Meghe College Of Engineering And Management Badnera,Fully Mapped
52.0,38661.0,64.3372475,112837210.0,1128.0,1128,0112837210,Electronics and Telecommunication Engg,Prof Ram Meghe College Of Engineering And Management Badnera,Fully Mapped
53.0,40577.0,62.8148079,112891210.0,1128.0,1128,0112891210,Computer Science and Engineering(Data Science),Prof Ram Meghe College Of Engineering And Management Badnera,Fully Mapped
54.0,76872.0,28.5249776,113019110.0,1130.0,1130,0113019110,Civil Engineering,Vision Buldhana Educational Welfare Society S Pankaj Laddhad Institute Of Technology Management Studies Yelgaon,Fully Mapped
55.0,58118.0,48.0088741,113024210.0,1130.0,1130,0113024210,Computer Science and Engineering,Vision Buldhana Educational Welfare Society S Pankaj Laddhad Institute Of Technology Management Studies Yelgaon,Fully Mapped
56.0,68644.0,38.0581172,118024210.0,1180.0,1180,0118024210,Computer Science and Engineering,Sanmati Engineering College Sawargaon Barde Washim,Fully Mapped
57.0,149675.0,50.0957604,118026310.0,1180.0,1180,0118026310,Artificial Intelligence (AI) and Data Science,Sanmati Engineering College Sawargaon Barde Washim,Fully Mapped
58.0,88403.0,8.9255354,118026310.0,1180.0,1180,0118026310,Artificial Intelligence (AI) and Data Science,Sanmati Engineering College Sawargaon Barde Washim,Fully Mapped
59.0,89225.0,6.6246734,118219110.0,1182.0,1182,0118219110,Civil Engineering,Padmashri Dr. V.B. Kolte College Of Engineering Malkapur Buldhana,Fully Mapped
60.0,180905.0,15.5975889,118261210.0,1182.0,1182,0118261210,Mechanical Engineering,Padmashri Dr. V.B. Kolte College Of Engineering Malkapur Buldhana,Fully Mapped
61.0,57556.0,48.292859,126519110.0,1265.0,1265,0126519110,Civil Engineering,Mauli Group Of Institutions College Of Engineering And Technology Shegaon.,Fully Mapped
62.0,14696.0,85.3175964,126524210.0,1265.0,1265,0126524210,Computer Science and Engineering,Mauli Group Of Institutions College Of Engineering And Technology Shegaon.,Fully Mapped
63.0,24140.0,76.7504908,126524610.0,1265.0,1265,0126524610,Information Technology,Mauli Group Of Institutions College Of Engineering And Technology Shegaon.,Fully Mapped
64.0,50574.0,54.4646573,126535610.0,1265.0,1265,0126535610,Electrical Engg[Electronics and Power],Mauli Group Of Institutions College Of Engineering And Technology Shegaon.,Fully Mapped
65.0,71216.0,34.9375047,126824210.0,1268.0,1268,0126824210,Computer Science and Engineering,Siddhivinayak Technical Campus School Of Engineering Research Technology Shirasgon Nile,Fully Mapped
66.0,80887.0,23.1926472,126837210.0,1268.0,1268,0126837210,Electronics and Telecommunication Engg,Siddhivinayak Technical Campus School Of Engineering Research Technology Shirasgon Nile,Fully Mapped
67.0,88531.0,8.6286825,126861210.0,1268.0,1268,0126861210,Mechanical Engineering,Siddhivinayak Technical Campus School Of Engineering Research Technology Shirasgon Nile,Fully Mapped
68.0,77851.0,27.1374929,126899510.0,1268.0,1268,0126899510,Artificial Intelligence and Data Science,Siddhivinayak Technical Campus School Of Engineering Research Technology Shirasgon Nile,Fully Mapped
69.0,79236.0,25.4639506,127624510.0,1276.0,1276,0127624510,Computer Engineering,Manav School Of Engineering Technology Gut No. 1035 Nagpur Surat Highway Nh No. 6 Tal.Vyala Balapur Akola 444302,Fully Mapped
70.0,173867.0,25.0606208,127629310.0,1276.0,1276,0127629310,Electrical Engineering,Manav School Of Engineering Technology Gut No. 1035 Nagpur Surat Highway Nh No. 6 Tal.Vyala Balapur Akola 444302,Fully Mapped
71.0,19280.0,81.1433935,203290410.0,2032.0,2032,0203290410,Chemical Engineering,Institute Of Chemical Technology Mumbai Marathwada Off Campus Jalna,Fully Mapped
72.0,151891.0,47.9842799,211119110.0,2111.0,2111,0211119110,Civil Engineering,Everest Education Society Group Of Institutions (Integrated Campus) Ohar,Fully Mapped
73.0,83551.0,18.8896018,211124210.0,2111.0,2111,0211124210,Computer Science and Engineering,Everest Education Society Group Of Institutions (Integrated Campus) Ohar,Fully Mapped
